,id,beer-name,style,ounces,abv,ibu,brewery_id,brewery-name,city,state,clean,brewery\_id
28,799.0,21st Amendment IPA (2006),American IPA,12.0,0.07,70.0,368.0,21st Amendment Brewery,San Francisco,CA,,
29,797.0,Brew Free! or Die IPA (2008),American IPA,12.0,0.07,70.0,368.0,21st Amendment Brewery,San Francisco,CA,"{'id': 797, 'beer-name': 'Brew Free! or Die IPA (2008)', 'style': 'American IPA', 'ounces': 12.0, 'abv': 0.07, 'ibu': 70.0, 'brewery_id': 368, 'brewery-name': '21st Amendment Brewery', 'city': 'San Francisco', 'state': 'CA'}",
30,796.0,Brew Free! or Die IPA (2009),American IPA,12.0,0.07,70.0,368.0,21st Amendment Brewery,San Francisco,CA,,
31,531.0,Special Edition: Allies Win The War!,English Strong Ale,12.0,0.085,52.0,368.0,21st Amendment Brewery,San Francisco,CA,,
32,432.0,Hop Crisis,American Double / Imperial IPA,12.0,0.097,94.0,368.0,21st Amendment Brewery,San Francisco,CA,,
33,353.0,Bitter American (2011),American Pale Ale (APA),12.0,0.044,42.0,368.0,21st Amendment Brewery,San Francisco,CA,,
34,321.0,Fireside Chat (2010),Winter Warmer,12.0,0.079,45.0,368.0,21st Amendment Brewery,San Francisco,CA,,
35,173.0,Back in Black,American Black Ale,12.0,0.068,65.0,368.0,21st Amendment Brewery,San Francisco,CA,,
36,11.0,Monk's Blood,Belgian Dark Ale,12.0,0.083,35.0,368.0,21st Amendment Brewery,San Francisco,CA,"{'id': 11, 'beer-name': ""Monk's Blood"", 'style': 'Belgian Dark Ale', 'ounces': 12.0, 'abv': 0.083, 'ibu': 35.0, 'brewery\\_id': 368, 'brewery-name': '21st Amendment Brewery', 'city': 'San Francisco', 'state': 'CA', 'brewery_id': 368}",
37,10.0,Brew Free! or Die IPA,American IPA,12.0,0.07,65.0,368.0,21st Amendment Brewery,San Francisco,CA,,
38,9.0,Hell or High Watermelon Wheat,Fruit / Vegetable Beer,12.0,0.049,17.0,368.0,21st Amendment Brewery,San Francisco,CA,,
39,2519.0,Bimini Twist,American IPA,12.0,0.07,82.0,67.0,3 Daughters Brewing,St Petersburg,FL,,
40,2518.0,Beach Blonde,American Blonde Ale,12.0,0.05,,67.0,3 Daughters Brewing,St Petersburg,FL,,
41,2517.0,Rod Bender Red,American Amber / Red Ale,12.0,0.059,,67.0,3 Daughters Brewing,St Petersburg,FL,,
42,2545.0,Passion Fruit Prussia,Berliner Weissbier,12.0,0.035,11.0,60.0,4 Hands Brewing Company,Saint Louis,MO,,
43,2544.0,Send Help,American Blonde Ale,12.0,0.045,18.0,60.0,4 Hands Brewing Company,Saint Louis,MO,,
44,2324.0,Cast Iron Oatmeal Brown,American Brown Ale,12.0,0.055,,60.0,4 Hands Brewing Company,Saint Louis,MO,,
45,2288.0,Reprise Centennial Red,American Amber / Red Ale,12.0,0.06,,60.0,4 Hands Brewing Company,Saint Louis,MO,,
46,2287.0,Alter Ego,American Black Ale,12.0,0.055,,60.0,4 Hands Brewing Company,Saint Louis,MO,,
47,2286.0,Divided Sky,American IPA,12.0,0.065,,60.0,4 Hands Brewing Company,Saint Louis,MO,,
48,2285.0,Resurrected,American IPA,12.0,0.065,,60.0,4 Hands Brewing Company,Saint Louis,MO,,
49,1870.0,Contact High,American Pale Wheat Ale,12.0,0.05,28.0,60.0,4 Hands Brewing Company,Saint Louis,MO,,
50,2603.0,Galaxyfest,American IPA,16.0,0.065,,27.0,450 North Brewing Company,Columbus,IN,,
51,2602.0,Citrafest,American IPA,16.0,0.05,45.0,27.0,450 North Brewing Company,Columbus,IN,,
52,2220.0,Barn Yeti,Belgian Strong Dark Ale,16.0,0.09,,27.0,450 North Brewing Company,Columbus,IN,,
53,2219.0,Scarecrow,American IPA,16.0,0.069,65.0,27.0,450 North Brewing Company,Columbus,IN,,
54,2218.0,Ironman,English Strong Ale,16.0,0.09,50.0,27.0,450 North Brewing Company,Columbus,IN,,
55,2217.0,Honey Kolsch,Kölsch,16.0,0.046,15.0,27.0,450 North Brewing Company,Columbus,IN,,
56,2216.0,Copperhead Amber,Belgian Dark Ale,16.0,0.052,18.0,27.0,450 North Brewing Company,Columbus,IN,,
57,972.0,Rude Parrot IPA,American IPA,16.0,0.059,75.0,481.0,7 Seas Brewing Company,Gig Harbor,WA,"{'id': 972, 'beer-name': 'Rude Parrot IPA', 'style': 'American IPA', 'ounces': 16.0, 'abv': 0.059, 'ibu': 75.0, 'brewery\\_id': 481, 'brewery-name': '7 Seas Brewing Company', 'city': 'Gig Harbor', 'state': 'WA', 'brewery_id': 481}",
58,866.0,British Pale Ale (2010),English Pale Ale,16.0,0.054,30.0,481.0,7 Seas Brewing Company,Gig Harbor,WA,,
59,48.0,British Pale Ale,English Pale Ale,16.0,0.054,30.0,481.0,7 Seas Brewing Company,Gig Harbor,WA,,
60,47.0,Ballz Deep Double IPA,American Double / Imperial IPA,16.0,0.084,82.0,481.0,7 Seas Brewing Company,Gig Harbor,WA,,
61,1583.0,Wolfman's Berliner,Berliner Weissbier,12.0,0.038,,373.0,7venth Sun,Dunedin,FL,"{'id': 1583, 'beer-name': ""Wolfman's Berliner"", 'style': 'Berliner Weissbier', 'ounces': 12.0, 'abv': 0.038, 'ibu': '', 'brewery\\_id': 373, 'brewery-name': '7venth Sun', 'city': 'Dunedin', 'state': 'FL', 'brewery_id': 373}",
62,1165.0,Colorado Native,American Amber / Red Lager,12.0,0.055,26.0,462.0,AC Golden Brewing Company,Golden,CO,,
63,431.0,Colorado Native (2011),American Amber / Red Lager,12.0,0.055,26.0,462.0,AC Golden Brewing Company,Golden,CO,,
64,516.0,Jockamo IPA,American IPA,12.0,0.065,52.0,533.0,Abita Brewing Company,Abita Springs,LA,,
65,515.0,Purple Haze,Fruit / Vegetable Beer,12.0,0.042,13.0,533.0,Abita Brewing Company,Abita Springs,LA,,
66,514.0,Abita Amber,American Amber / Red Lager,12.0,0.045,17.0,533.0,Abita Brewing Company,Abita Springs,LA,,
67,2540.0,Citra Ass Down,American IPA,16.0,0.082,68.0,62.0,Against The Grain Brewery,Louisville,KY,"{'id': 2540, 'beer-name': 'Citra Ass Down', 'style': 'American IPA', 'ounces': 16.0, 'abv': 0.082, 'ibu': 68.0, 'brewery\\_id': 62, 'brewery-name': 'Against The Grain Brewery', 'city': 'Louisville', 'state': 'KY', 'brewery_id': 62}",
68,2539.0,The Brown Note,American Brown Ale,16.0,0.05,20.0,62.0,Against The Grain Brewery,Louisville,KY,,
69,2686.0,Citra Ass Down,American Double / Imperial IPA,16.0,0.08,68.0,1.0,Against the Grain Brewery,Louisville,KY,"{'id': 2686, 'beer-name': 'Citra Ass Down', 'style': 'American Double / Imperial IPA', 'ounces': 16.0, 'abv': 0.08, 'ibu': 68.0, 'brewery_id': 1, 'brewery-name': 'Against the Grain Brewery', 'city': 'Louisville', 'state': 'KY'}",
70,2685.0,London Balling,English Barleywine,16.0,0.125,80.0,1.0,Against the Grain Brewery,Louisville,KY,,
71,2684.0,35 K,Milk / Sweet Stout,16.0,0.077,25.0,1.0,Against the Grain Brewery,Louisville,KY,,
72,2683.0,A Beer,American Pale Ale (APA),16.0,0.042,42.0,1.0,Against the Grain Brewery,Louisville,KY,,
73,2682.0,Rules are Rules,German Pilsener,16.0,0.05,25.0,1.0,Against the Grain Brewery,Louisville,KY,,
74,2681.0,Flesh Gourd'n,Pumpkin Ale,16.0,0.066,21.0,1.0,Against the Grain Brewery,Louisville,KY,,
75,2680.0,Sho'nuff,Belgian Pale Ale,16.0,0.04,13.0,1.0,Against the Grain Brewery,Louisville,KY,,
76,2679.0,Bloody Show,American Pilsner,16.0,0.055,17.0,1.0,Against the Grain Brewery,Louisville,KY,,
77,2678.0,Rico Sauvin,American Double / Imperial IPA,16.0,0.076,68.0,1.0,Against the Grain Brewery,Louisville,KY,"{'id': 2678, 'beer-name': 'Rico Sauvin', 'style': 'American Double / Imperial IPA', 'ounces': 16.0, 'abv': 0.076, 'ibu': 68.0, 'brewery_id': 1, 'brewery-name': 'Against the Grain Brewery', 'city': 'Louisville', 'state': 'KY'}",
78,2677.0,Coq de la Marche,Saison / Farmhouse Ale,16.0,0.051,38.0,1.0,Against the Grain Brewery,Louisville,KY,,
79,2676.0,Kamen Knuddeln,American Wild Ale,16.0,0.065,,1.0,Against the Grain Brewery,Louisville,KY,,
80,2675.0,Pile of Face,American IPA,16.0,0.06,65.0,1.0,Against the Grain Brewery,Louisville,KY,,
81,2674.0,The Brown Note,English Brown Ale,16.0,0.05,20.0,1.0,Against the Grain Brewery,Louisville,KY,,
82,1594.0,Maylani's Coconut Stout,American Stout,16.0,0.053,35.0,367.0,Airways Brewing Company,Kent,WA,,
83,1162.0,Oatmeal PSA,American Pale Ale (APA),16.0,0.05,35.0,367.0,Airways Brewing Company,Kent,WA,"{'id': 1162, 'beer-name': 'Oatmeal PSA', 'style': 'American Pale Ale (APA)', 'ounces': 16.0, 'abv': 0.05, 'ibu': 35.0, 'brewery\\_id': 367, 'brewery-name': 'Airways Brewing Company', 'city': 'Kent', 'state': 'WA', 'brewery_id': 367}",
84,1137.0,Pre Flight Pilsner,American Pilsner,16.0 oz,0.052,33.0,367.0,Airways Brewing Company,Kent,WA,,
85,2403.0,P-Town Pilsner,American Pilsner,12.0,0.04,20.0,117.0,Alameda Brewing,Portland,OR,,
86,2402.0,Klickitat Pale Ale,American Pale Ale (APA),12.0,0.053,36.0,117.0,Alameda Brewing,Portland,OR,,
87,2401.0,Yellow Wolf Imperial IPA,American Double / Imperial IPA,12.0,0.082,103.0,117.0,Alameda Brewing,Portland,OR,,
88,1921.0,Freeride APA,American Pale Ale (APA),12.0,0.053,40.0,270.0,Alaskan Brewing Company,Juneau,AK,,
89,1920.0,Alaskan Amber,Altbier,12.0,0.053,18.0,270.0,Alaskan Brewing Company,Juneau,AK,"{'id': 1920, 'beer-name': 'Alaskan Amber', 'style': 'Altbier', 'ounces': 12.0, 'abv': 0.053, 'ibu': 18.0, 'brewery\\_id': 270, 'brewery-name': 'Alaskan Brewing Company', 'city': 'Juneau', 'state': 'AK', 'brewery_id': 270}",
90,2501.0,Hopalicious,American Pale Ale (APA),12.0,0.057,,73.0,Ale Asylum,Madison,WI,,
91,1535.0,Kentucky Kölsch,Kölsch,16.0,0.043,,388.0,Alltech's Lexington Brewing Company,Lexington,KY,,
92,1149.0,Kentucky IPA,American IPA,16.0,0.065,,388.0,Alltech's Lexington Brewing Company,Lexington,KY,,
93,1474.0,Dusty Trail Pale Ale,American Pale Ale (APA),16.0,0.054,,401.0,Amnesia Brewing Company,Washougal,WA,,
94,1473.0,Damnesia,American IPA,16.0,0.062,,401.0,Amnesia Brewing Company,Washougal,WA,,
95,837.0,Desolation IPA,American IPA,16.0,0.062,43.0,401.0,Amnesia Brewing Company,Washougal,WA,"{'id': 837, 'beer-name': 'Desolation IPA', 'style': 'American IPA', 'ounces': 16.0, 'abv': 0.062, 'ibu': 43.0, 'brewery\\_id': 401, 'brewery-name': 'Amnesia Brewing Company', 'city': 'Washougal', 'state': 'WA', 'brewery_id': 401}",
96,2592.0,Liberty Ale,American IPA,12.0,0.059,,35.0,Anchor Brewing Company,San Francisco,CA,,
97,2578.0,IPA,American IPA,12.0,0.065,,35.0,Anchor Brewing Company,San Francisco,CA,"{'id': 2578, 'beer-name': 'IPA', 'style': 'American IPA', 'ounces': 12.0, 'abv': 0.065, 'ibu': '', 'brewery_id': 35, 'brewery-name': 'Anchor Brewing Company', 'city': 'San Francisco', 'state': 'CA'}",
98,2577.0,Summer Wheat,American Pale Wheat Ale,12.0,0.045,,35.0,Anchor Brewing Company,San Francisco,CA,,
99,2103.0,California Lager,American Amber / Red Lager,12.0 oz.,0.049,,35.0,Anchor Brewing Company,San Francisco,CA,,
100,2102.0,Brotherhood Steam,California Common / Steam Beer,12.0,0.055999999999999994,,35.0,Anchor Brewing Company,San Francisco,CA,"{'id': 2102, 'beer-name': 'Brotherhood Steam', 'style': 'California Common / Steam Beer', 'ounces': 12.0, 'abv': 0.055999999999999994, 'ibu': '', 'brewery_id': 35, 'brewery-name': 'Anchor Brewing Company', 'city': 'San Francisco', 'state': 'CA'}",
101,2291.0,Blood Orange Gose,Gose,12.0,0.042,,171.0,Anderson Valley Brewing Company,Boonville,CA,,
102,1818.0,Keebarlin' Pale Ale,American Pale Ale (APA),12.0,0.042,,171.0,Anderson Valley Brewing Company,Boonville,CA,,
103,1738.0,"the Kimmie, the Yink and the Holy Gose",Gose,12.0,0.048,,171.0,Anderson Valley Brewing Company,Boonville,CA,,
104,1563.0,Fall Hornin',Pumpkin Ale,12.0,0.06,,171.0,Anderson Valley Brewing Company,Boonville,CA,,
105,1520.0,Barney Flats Oatmeal Stout,Oatmeal Stout,12.0,0.057,13.0,171.0,Anderson Valley Brewing Company,Boonville,CA,,
106,1350.0,Summer Solstice,Cream Ale,12.0,0.056,4.0,171.0,Anderson Valley Brewing Company,Boonville,CA,"{'id': 1350, 'beer-name': 'Summer Solstice', 'style': 'Cream Ale', 'ounces': 12.0, 'abv': 0.056, 'ibu': 4.0, 'brewery\\_id': 171, 'brewery-name': 'Anderson Valley Brewing Company', 'city': 'Boonville', 'state': 'CA', 'brewery_id': 171}",
107,1327.0,Hop Ottin' IPA,American IPA,12.0,0.07,80.0,171.0,Anderson Valley Brewing Company,Boonville,CA,"{'id': 1327, 'beer-name': ""Hop Ottin' IPA"", 'style': 'American IPA', 'ounces': 12.0, 'abv': 0.07, 'ibu': 80.0, 'brewery_id': 171, 'brewery-name': 'Anderson Valley Brewing Company', 'city': 'Boonville', 'state': 'CA'}",
108,1326.0,Boont Amber Ale,American Amber / Red Ale,12.0,0.057999999999999996,15.0,171.0,Anderson Valley Brewing Company,Boonville,CA,,
109,1221.0,Barney Flats Oatmeal Stout,Oatmeal Stout,12.0,0.057,13.0,171.0,Anderson Valley Brewing Company,Boonville,CA,,
110,1217.0,El Steinber Dark Lager,Vienna Lager,16.0,0.055,25.0,171.0,Anderson Valley Brewing Company,Boonville,CA,,
111,811.0,Boont Amber Ale (2010),American Amber / Red Ale,12.0,0.057999999999999996,15.0,171.0,Anderson Valley Brewing Company,Boonville,CA,,
112,753.0,Summer Solstice Cerveza Crema (2009),Cream Ale,12.0,0.056,4.0,171.0,Anderson Valley Brewing Company,Boonville,CA,,
113,572.0,Barney Flats Oatmeal Stout (2012),Oatmeal Stout,12.0,0.057,13.0,171.0,Anderson Valley Brewing Company,Boonville,CA,,
114,523.0,Winter Solstice,Winter Warmer,12.0,0.069,6.0,171.0,Anderson Valley Brewing Company,Boonville,CA,,
115,367.0,Hop Ottin' IPA (2011),American IPA,12.0,0.07,80.0,171.0,Anderson Valley Brewing Company,Boonville,CA,,
116,78.0,Boont Amber Ale (2011),American Amber / Red Ale,12.0,0.058,15.0,171.0,Anderson Valley Brewing Company,Boonville,CA,,
117,77.0,Summer Solstice (2011),Cream Ale,12.0,0.056,4.0,171.0,Anderson Valley Brewing Company,Boonville,CA,,
118,76.0,Poleeko Gold Pale Ale (2009),American Pale Ale (APA),12.0,0.055,28.0,171.0,Anderson Valley Brewing Company,Boonville,CA,,
119,2337.0,Charlie's Rye IPA,American IPA,16.0,0.06,,146.0,Angry Minnow,Hayward,WI,"{'id': 2337, 'beer-name': ""Charlie's Rye IPA"", 'style': 'American IPA', 'ounces': 16.0, 'abv': 0.06, 'ibu': '', 'brewery\\_id': 146, 'brewery-name': 'Angry Minnow', 'city': 'Hayward', 'state': 'WI', 'brewery_id': 146}",
120,410.0,River Pig Pale Ale,American Pale Ale (APA),16.0,0.054,,542.0,Angry Minnow Brewing Company,Hayward,WI,"{'id': 410, 'beer-name': 'River Pig Pale Ale', 'style': 'American Pale Ale (APA)', 'ounces': 16.0, 'abv': 0.054, 'ibu': '', 'brewery\\_id': 542, 'brewery-name': 'Angry Minnow Brewing Company', 'city': 'Hayward', 'state': 'WI', 'brewery_id': 542}",
121,409.0,Oaky's Oatmeal Stout,Oatmeal Stout,16.0,0.047,,542.0,Angry Minnow Brewing Company,Hayward,WI,,
122,1294.0,Angry Orchard Apple Ginger,Cider,16.0,0.05,,434.0,Angry Orchard Cider Company,Cincinnati,OH,,
123,1293.0,Angry Orchard Crisp Apple,Cider,16.0,0.05,,434.0,Angry Orchard Cider Company,Cincinnati,OH,,
124,1292.0,Angry Orchard Crisp Apple,Cider,12.0,0.05,,434.0,Angry Orchard Cider Company,Cincinnati,OH,,
125,2207.0,Golden One,Belgian Pale Ale,12.0 oz.,0.068,,193.0,Anthem Brewing Company,Oklahoma City,OK,,
126,2040.0,Arjuna,Witbier,12.0,0.06,,193.0,Anthem Brewing Company,Oklahoma City,OK,,
127,2039.0,Uroboros,American Stout,12.0,0.085,,193.0,Anthem Brewing Company,Oklahoma City,OK,,
128,2511.0,Long Leaf,American IPA,16.0,0.071,75.0,69.0,Appalachian Mountain Brewery,Boone,NC,,
129,2510.0,Honey Badger Blonde,American Blonde Ale,16.0,0.047,19.0,69.0,Appalachian Mountain Brewery,Boone,NC,,
130,2509.0,Porter (a/k/a Black Gold Porter),American Porter,16.0,0.06,23.0,69.0,Appalachian Mountain Brewery,Boone,NC,,
131,413.0,Sky High Rye,American Pale Ale (APA),12.0,0.06,55.0,541.0,Arcadia Brewing Company,Battle Creek,MI,,
132,390.0,Whitsun,American Pale Wheat Ale,12.0,0.062,17.0,541.0,Arcadia Brewing Company,Battle Creek,MI,,
133,735.0,On-On Ale (2008),American Pale Ale (APA),12.0,0.052,,513.0,Arctic Craft Brewery,Colorado Springs,CO,,
134,1333.0,Quakertown Stout,American Double / Imperial Stout,12.0,0.092,50.0,426.0,Armadillo Ale Works,Denton,TX,,
135,1332.0,Greenbelt Farmhouse Ale,Saison / Farmhouse Ale,12.0,0.051,20.0,426.0,Armadillo Ale Works,Denton,TX,,
136,1172.0,Mo's Gose,Gose,16.0,0.052,10.0,461.0,Armstrong Brewing Company,South San Francisco,CA,"{'id': 1172, 'beer-name': ""Mo's Gose"", 'style': 'Gose', 'ounces': 16.0, 'abv': 0.052, 'ibu': 10.0, 'brewery\\_id': 461, 'brewery-name': 'Armstrong Brewing Company', 'city': 'South San Francisco', 'state': 'CA', 'brewery_id': 461}",
137,1322.0,Green Bullet Organic India Pale Ale,American IPA,16.0,0.07,45.0,429.0,Asher Brewing Company,Boulder,CO,"{'id': 1322, 'beer-name': 'Green Bullet Organic India Pale Ale', 'style': 'American IPA', 'ounces': 16.0, 'abv': 0.07, 'ibu': 45.0, 'brewery\\_id': 429, 'brewery-name': 'Asher Brewing Company', 'city': 'Boulder', 'state': 'CO', 'brewery_id': 429}",
138,550.0,Rocket Girl,Kölsch,12.0,0.032,27.0,528.0,Asheville Brewing Company,Asheville,NC,,
139,429.0,Ninja Porter,American Porter,12.0,0.053,26.0,528.0,Asheville Brewing Company,Asheville,NC,,
140,428.0,Shiva IPA,American IPA,12.0,0.06,69.0,528.0,Asheville Brewing Company,Asheville,NC,,
141,1640.0,Aslan Kölsch,Kölsch,16.0,0.048,,353.0,Aslan Brewing Company,Bellingham,WA,,
142,1639.0,Aslan IPA,American IPA,16.0,0.077,,353.0,Aslan Brewing Company,Bellingham,WA,,
143,1638.0,Aslan Amber,American Amber / Red Ale,16.0,0.077,,353.0,Aslan Brewing Company,Bellingham,WA,,
144,597.0,This Season's Blonde,American Blonde Ale,12.0,0.056,27.0,523.0,Aspen Brewing Company,Aspen,CO,"{'id': 597, 'beer-name': ""This Season's Blonde"", 'style': 'American Blonde Ale', 'ounces': 12.0, 'abv': 0.056, 'ibu': 27.0, 'brewery\\_id': 523, 'brewery-name': 'Aspen Brewing Company', 'city': 'Aspen', 'state': 'CO', 'brewery_id': 523}",
145,596.0,Independence Pass Ale,American IPA,12.0,0.07,67.0,523.0,Aspen Brewing Company,Aspen,CO,,
146,1580.0,Trolley Stop Stout,American Stout,12.0,0.057,40.0,374.0,Astoria Brewing Company,Astoria,OR,,
147,980.0,Bitter Bitch Imperial IPA,American Double / Imperial IPA,12.0,0.08199999999999999,138.0,374.0,Astoria Brewing Company,Astoria,OR,,
148,979.0,Poop Deck Porter,American Porter,12.0,0.062,35.0,374.0,Astoria Brewing Company,Astoria,OR,"{'id': 979, 'beer-name': 'Poop Deck Porter', 'style': 'American Porter', 'ounces': 12.0, 'abv': 0.062, 'ibu': 35.0, 'brewery\\_id': 374, 'brewery-name': 'Astoria Brewing Company', 'city': 'Astoria', 'state': 'OR', 'brewery_id': 374}",
149,978.0,Old Red Beard Amber Ale,American Amber / Red Ale,12.0,0.06,35.0,374.0,Astoria Brewing Company,Astoria,OR,"{'id': 978, 'beer-name': 'Old Red Beard Amber Ale', 'style': 'American Amber / Red Ale', 'ounces': 12.0, 'abv': 0.06, 'ibu': 35.0, 'brewery\\_id': 374, 'brewery-name': 'Astoria Brewing Company', 'city': 'Astoria', 'state': 'OR', 'brewery_id': 374}",
150,2503.0,Hop A-Peel,American Double / Imperial IPA,16.0,0.075,115.0,72.0,Atwater Brewery,Detroit,MI,,
151,2502.0,Vanilla Java Porter,American Porter,16.0,0.055,12.0,72.0,Atwater Brewery,Detroit,MI,,
152,,,,,,,,,,,,
153,534.0,Dirty Blonde Ale,American Blonde Ale,12.0,0.045,8.0,72.0,Atwater Brewery,Detroit,MI,,
154,528.0,Grand Circus IPA,American IPA,12.0,0.05,62.0,72.0,Atwater Brewery,Detroit,MI,,
155,527.0,Atwater's Lager,Munich Helles Lager,12.0,0.05,12.0,72.0,Atwater Brewery,Detroit,MI,,
156,1409.0,Heavy Machinery IPA Series #1: Heavy Fist,American Black Ale,16.0,0.07,,413.0,Austin Beerworks,Austin,TX,"{'id': 1409, 'beer-name': 'Heavy Machinery IPA Series #1: Heavy Fist', 'style': 'American Black Ale', 'ounces': 16.0, 'abv': 0.07, 'ibu': '', 'brewery_id': 413, 'brewery-name': 'Austin Beerworks', 'city': 'Austin', 'state': 'TX'}",
157,343.0,Fire Eagle IPA,American IPA,12.0,0.062,,413.0,Austin Beerworks,Austin,TX,,
158,342.0,Peacemaker,American Pale Ale (APA),12.0,0.051,,413.0,Austin Beerworks,Austin,TX,,
159,341.0,Pearl-Snap,German Pilsener,12.0,0.053,,413.0,Austin Beerworks,Austin,TX,,
160,340.0,Black Thunder,Schwarzbier,12.0,0.052,,413.0,Austin Beerworks,Austin,TX,,
161,2589.0,Raja,American Double / Imperial IPA,12.0,0.08,,37.0,Avery Brewing Company,Boulder,CO,,
162,2546.0,Perzik Saison,Saison / Farmhouse Ale,12.0,0.064,,37.0,Avery Brewing Company,Boulder,CO,,
163,146.0,Avery Joe’s Premium American Pilsner,German Pilsener,12.0,0.047,42.0,37.0,Avery Brewing Company,Boulder,CO,,
