,instruction,input,output
11,"COL CCN VAL 01T029 COL Facility VAL ALEXIAN BROTHERS MEDICAL CENTER COL Address1 VAL 2000 PEPPERELL PARKWAY. COL City VAL OPELIKA COL State VAL AL COL ZipCode VAL 36801 COL County VAL Lee COL PhoneNumber VAL (502) 596-6346 COL CMSRegion VAL 4 COL Condition VAL Hip or knee replacement, amputation or other bone or joint condition ",COL Facility VAL ALEXIAN BROTHERS MEDICAL CENTER ,EAMC- LANIER
12,"COL CCN VAL 01T029 COL Facility VAL EAMC- LANIER COL Address1 VAL 462 GRIDER ST COL City VAL OPELIKA COL State VAL AL COL ZipCode VAL 36801 COL County VAL Lee COL PhoneNumber VAL (502) 596-6346 COL CMSRegion VAL 4 COL Condition VAL Hip or knee replacement, amputation or other bone or joint condition ",COL Address1 VAL 462 GRIDER ST ,2000 PEPPERELL PARKWAY.
13,"COL CCN VAL 01T029 COL Facility VAL EAMC- LANIER COL Address1 VAL 2000 PEPPERELL PARKWAY. COL City VAL CULVER CITY COL State VAL AL COL ZipCode VAL 36801 COL County VAL Lee COL PhoneNumber VAL (502) 596-6346 COL CMSRegion VAL 4 COL Condition VAL Hip or knee replacement, amputation or other bone or joint condition ",COL City VAL CULVER CITY ,OPELIKA
14,"COL CCN VAL 01T029 COL Facility VAL EAMC- LANIER COL Address1 VAL 2000 PEPPERELL PARKWAY. COL City VAL OPELIKA COL State VAL NM COL ZipCode VAL 36801 COL County VAL Lee COL PhoneNumber VAL (502) 596-6346 COL CMSRegion VAL 4 COL Condition VAL Hip or knee replacement, amputation or other bone or joint condition ",COL State VAL NM ,AL
15,"COL CCN VAL 01T029 COL Facility VAL EAMC- LANIER COL Address1 VAL 2000 PEPPERELL PARKWAY. COL City VAL OPELIKA COL State VAL AL COL ZipCode VAL 45005 COL County VAL Lee COL PhoneNumber VAL (502) 596-6346 COL CMSRegion VAL 4 COL Condition VAL Hip or knee replacement, amputation or other bone or joint condition ",COL ZipCode VAL 45005 ,36801
16,"COL CCN VAL 01T029 COL Facility VAL EAMC- LANIER COL Address1 VAL 2000 PEPPERELL PARKWAY. COL City VAL OPELIKA COL State VAL AL COL ZipCode VAL 36801 COL County VAL Kern COL PhoneNumber VAL (502) 596-6346 COL CMSRegion VAL 4 COL Condition VAL Hip or knee replacement, amputation or other bone or joint condition ",COL County VAL Kern ,Lee
17,"COL CCN VAL 01T029 COL Facility VAL EAMC- LANIER COL Address1 VAL 2000 PEPPERELL PARKWAY. COL City VAL OPELIKA COL State VAL AL COL ZipCode VAL 36801 COL County VAL Lee COL PhoneNumber VAL (10) 667-5619 COL CMSRegion VAL 4 COL Condition VAL Hip or knee replacement, amputation or other bone or joint condition ",COL PhoneNumber VAL (10) 667-5619 ,(502) 596-6346
18,"COL CCN VAL 01T029 COL Facility VAL EAMC- LANIER COL Address1 VAL 2000 PEPPERELL PARKWAY. COL City VAL OPELIKA COL State VAL AL COL ZipCode VAL 36801 COL County VAL Lee COL PhoneNumber VAL (502) 596-6346 COL CMSRegion VAL 1 COL Condition VAL Hip or knee replacement, amputation or other bone or joint condition ",COL CMSRegion VAL 1 ,4
19,COL CCN VAL 01T029 COL Facility VAL EAMC- LANIER COL Address1 VAL 2000 PEPPERELL PARKWAY. COL City VAL OPELIKA COL State VAL AL COL ZipCode VAL 36801 COL County VAL Lee COL PhoneNumber VAL (502) 596-6346 COL CMSRegion VAL 4 COL Condition VAL Spinal cord disease or condition (non-traumatic) ,COL Condition VAL Spinal cord disease or condition (non-traumatic) ,"Hip or knee replacement, amputation or other bone or joint condition"
20,COL CCN VAL 05T043 COL Facility VAL SPAIN REHABILITATION CENTER COL Address1 VAL SRC 223E COL City VAL BIRMINGHAM COL State VAL AL COL ZipCode VAL 35249 COL County VAL Jefferson COL PhoneNumber VAL (205) 934-4940 COL CMSRegion VAL 4 COL Condition VAL Brain injury (traumatic) ,COL CCN VAL 05T043 ,01T033
21,COL CCN VAL 01T033 COL Facility VAL PAM HEALTH REHABILITATION HOSPITAL WESTMINSTER COL Address1 VAL SRC 223E COL City VAL BIRMINGHAM COL State VAL AL COL ZipCode VAL 35249 COL County VAL Jefferson COL PhoneNumber VAL (205) 934-4940 COL CMSRegion VAL 4 COL Condition VAL Brain injury (traumatic) ,COL Facility VAL PAM HEALTH REHABILITATION HOSPITAL WESTMINSTER ,SPAIN REHABILITATION CENTER
22,COL CCN VAL 01T033 COL Facility VAL SPAIN REHABILITATION CENTER COL Address1 VAL 90 WEST KINGS HIGHWAY COL City VAL BIRMINGHAM COL State VAL AL COL ZipCode VAL 35249 COL County VAL Jefferson COL PhoneNumber VAL (205) 934-4940 COL CMSRegion VAL 4 COL Condition VAL Nervous system disorder (excluding stroke) ,COL Address1 VAL 90 WEST KINGS HIGHWAY ,SRC 223E
23,COL CCN VAL 01T033 COL Facility VAL SPAIN REHABILITATION CENTER COL Address1 VAL SRC 223E COL City VAL HICKORY COL State VAL AL COL ZipCode VAL 35249 COL County VAL Jefferson COL PhoneNumber VAL (205) 934-4940 COL CMSRegion VAL 4 COL Condition VAL Nervous system disorder (excluding stroke) ,COL City VAL HICKORY ,BIRMINGHAM
24,COL CCN VAL 01T033 COL Facility VAL SPAIN REHABILITATION CENTER COL Address1 VAL SRC 223E COL City VAL BIRMINGHAM COL State VAL AK COL ZipCode VAL 35249 COL County VAL Jefferson COL PhoneNumber VAL (205) 934-4940 COL CMSRegion VAL 4 COL Condition VAL Nervous system disorder (excluding stroke) ,COL State VAL AK ,AL
25,COL CCN VAL 01T033 COL Facility VAL SPAIN REHABILITATION CENTER COL Address1 VAL SRC 223E COL City VAL BIRMINGHAM COL State VAL AL COL ZipCode VAL 60901 COL County VAL Jefferson COL PhoneNumber VAL (205) 934-4940 COL CMSRegion VAL 4 COL Condition VAL Brain injury (traumatic) ,COL ZipCode VAL 60901 ,35249
26,COL CCN VAL 01T033 COL Facility VAL SPAIN REHABILITATION CENTER COL Address1 VAL SRC 223E COL City VAL BIRMINGHAM COL State VAL AL COL ZipCode VAL 35249 COL County VAL Garland COL PhoneNumber VAL (205) 934-4940 COL CMSRegion VAL 4 COL Condition VAL Nervous system disorder (excluding stroke) ,COL County VAL Garland ,Jefferson
27,COL CCN VAL 01T033 COL Facility VAL SPAIN REHABILITATION CENTER COL Address1 VAL SRC 223E COL City VAL BIRMINGHAM COL State VAL AL COL ZipCode VAL 35249 COL County VAL Jefferson COL PhoneNumber VAL (718) 226-8027 COL CMSRegion VAL 4 COL Condition VAL Nervous system disorder (excluding stroke) ,COL PhoneNumber VAL (718) 226-8027 ,(205) 934-4940
28,COL CCN VAL 01T033 COL Facility VAL SPAIN REHABILITATION CENTER COL Address1 VAL SRC 223E COL City VAL BIRMINGHAM COL State VAL AL COL ZipCode VAL 35249 COL County VAL Jefferson COL PhoneNumber VAL (205) 934-4940 COL CMSRegion VAL 10 COL Condition VAL Nervous system disorder (excluding stroke) ,COL CMSRegion VAL 10 ,4
29,COL CCN VAL 01T033 COL Facility VAL SPAIN REHABILITATION CENTER COL Address1 VAL SRC 223E COL City VAL BIRMINGHAM COL State VAL AL COL ZipCode VAL 35249 COL County VAL Jefferson COL PhoneNumber VAL (205) 934-4940 COL CMSRegion VAL 4 COL Condition VAL Spinal cord injury (traumatic) ,COL Condition VAL Spinal cord injury (traumatic) ,Brain injury (traumatic)
30,"COL CCN VAL 3T023 COL Facility VAL DCH REHABILITATION CENTER COL Address1 VAL 809 UNIVERSITY BLVD, EAST COL City VAL TUSCALOOSA COL State VAL AL COL ZipCode VAL 35401 COL County VAL Tuscaloosa COL PhoneNumber VAL (205) 333-4362 COL CMSRegion VAL 4 COL Condition VAL Brain injury (traumatic) ",COL CCN VAL 3T023 ,01T092
31,"COL CCN VAL 01T092 COL Facility VAL ENCOMPASS HEALTH REHABILITATION HOSPITAL OF LAKELA COL Address1 VAL 809 UNIVERSITY BLVD, EAST COL City VAL TUSCALOOSA COL State VAL AL COL ZipCode VAL 35401 COL County VAL Tuscaloosa COL PhoneNumber VAL (205) 333-4362 COL CMSRegion VAL 4 COL Condition VAL Spinal cord disease or condition (non-traumatic) ",COL Facility VAL ENCOMPASS HEALTH REHABILITATION HOSPITAL OF LAKELA ,DCH REHABILITATION CENTER
32,COL CCN VAL 01T092 COL Facility VAL DCH REHABILITATION CENTER COL Address1 VAL HAZARD COL City VAL TUSCALOOSA COL State VAL AL COL ZipCode VAL 35401 COL County VAL Tuscaloosa COL PhoneNumber VAL (205) 333-4362 COL CMSRegion VAL 4 COL Condition VAL Hip or femur fracture ,COL Address1 VAL HAZARD ,"809 UNIVERSITY BLVD, EAST"
33,"COL CCN VAL 01T092 COL Facility VAL DCH REHABILITATION CENTER COL Address1 VAL 809 UNIVERSITY BLVD, EAST COL City VAL PETOSKEY COL State VAL AL COL ZipCode VAL 35401 COL County VAL Tuscaloosa COL PhoneNumber VAL (205) 333-4362 COL CMSRegion VAL 4 COL Condition VAL Spinal cord injury (traumatic) ",COL City VAL PETOSKEY ,TUSCALOOSA
34,"COL CCN VAL 01T092 COL Facility VAL DCH REHABILITATION CENTER COL Address1 VAL 809 UNIVERSITY BLVD, EAST COL City VAL TUSCALOOSA COL State VAL AK COL ZipCode VAL 35401 COL County VAL Tuscaloosa COL PhoneNumber VAL (205) 333-4362 COL CMSRegion VAL 4 COL Condition VAL Hip or femur fracture ",COL State VAL AK ,AL
35,"COL CCN VAL 01T092 COL Facility VAL DCH REHABILITATION CENTER COL Address1 VAL 809 UNIVERSITY BLVD, EAST COL City VAL TUSCALOOSA COL State VAL AL COL ZipCode VAL 89148 COL County VAL Tuscaloosa COL PhoneNumber VAL (205) 333-4362 COL CMSRegion VAL 4 COL Condition VAL Brain injury (traumatic) ",COL ZipCode VAL 89148 ,35401
36,"COL CCN VAL 01T092 COL Facility VAL DCH REHABILITATION CENTER COL Address1 VAL 809 UNIVERSITY BLVD, EAST COL City VAL TUSCALOOSA COL State VAL AL COL ZipCode VAL 35401 COL County VAL Cobb COL PhoneNumber VAL (205) 333-4362 COL CMSRegion VAL 4 COL Condition VAL Hip or femur fracture ",COL County VAL Cobb ,Tuscaloosa
37,"COL CCN VAL 01T092 COL Facility VAL DCH REHABILITATION CENTER COL Address1 VAL 809 UNIVERSITY BLVD, EAST COL City VAL TUSCALOOSA COL State VAL AL COL ZipCode VAL 35401 COL County VAL Tuscaloosa COL PhoneNumber VAL (708) 684-2000 COL CMSRegion VAL 4 COL Condition VAL Spinal cord disease or condition (non-traumatic) ",COL PhoneNumber VAL (708) 684-2000 ,(205) 333-4362
38,"COL CCN VAL 01T092 COL Facility VAL DCH REHABILITATION CENTER COL Address1 VAL 809 UNIVERSITY BLVD, EAST COL City VAL TUSCALOOSA COL State VAL AL COL ZipCode VAL 35401 COL County VAL Tuscaloosa COL PhoneNumber VAL (205) 333-4362 COL CMSRegion VAL 10 COL Condition VAL Hip or femur fracture ",COL CMSRegion VAL 10 ,4
39,"COL CCN VAL 01T092 COL Facility VAL DCH REHABILITATION CENTER COL Address1 VAL 809 UNIVERSITY BLVD, EAST COL City VAL TUSCALOOSA COL State VAL AL COL ZipCode VAL 35401 COL County VAL Tuscaloosa COL PhoneNumber VAL (205) 333-4362 COL CMSRegion VAL 4 COL Condition VAL Al other conditions ",COL Condition VAL Al other conditions ,Spinal cord injury (traumatic)
40,COL CCN VAL 11T007 COL Facility VAL THOMAS HOSPITAL COL Address1 VAL 750 MORPHY AVENUE COL City VAL FAIRHOPE COL State VAL AL COL ZipCode VAL 36533 COL County VAL Baldwin COL PhoneNumber VAL (251) 435-3417 COL CMSRegion VAL 4 COL Condition VAL Stroke ,COL CCN VAL 11T007 ,01T100
41,COL CCN VAL 01T100 COL Facility VAL ENCOMPASS HEALTH REHABILITATION HOSPITAL GADSDEN COL Address1 VAL 750 MORPHY AVENUE COL City VAL FAIRHOPE COL State VAL AL COL ZipCode VAL 36533 COL County VAL Baldwin COL PhoneNumber VAL (251) 435-3417 COL CMSRegion VAL 4 COL Condition VAL Spinal cord disease or condition (non-traumatic) ,COL Facility VAL ENCOMPASS HEALTH REHABILITATION HOSPITAL GADSDEN ,THOMAS HOSPITAL
42,COL CCN VAL 01T100 COL Facility VAL THOMAS HOSPITAL COL Address1 VAL 155 WILSON AVENUE COL City VAL FAIRHOPE COL State VAL AL COL ZipCode VAL 36533 COL County VAL Baldwin COL PhoneNumber VAL (251) 435-3417 COL CMSRegion VAL 4 COL Condition VAL Spinal cord disease or condition (non-traumatic) ,COL Address1 VAL 155 WILSON AVENUE ,750 MORPHY AVENUE
43,"COL CCN VAL 01T100 COL Facility VAL THOMAS HOSPITAL COL Address1 VAL 750 MORPHY AVENUE COL City VAL 4646 N. MARINE DRIVE COL State VAL AL COL ZipCode VAL 36533 COL County VAL Baldwin COL PhoneNumber VAL (251) 435-3417 COL CMSRegion VAL 4 COL Condition VAL Hip or knee replacement, amputation or other bone or joint condition ",COL City VAL 4646 N. MARINE DRIVE ,FAIRHOPE
44,"COL CCN VAL 01T100 COL Facility VAL THOMAS HOSPITAL COL Address1 VAL 750 MORPHY AVENUE COL City VAL FAIRHOPE COL State VAL GA COL ZipCode VAL 36533 COL County VAL Baldwin COL PhoneNumber VAL (251) 435-3417 COL CMSRegion VAL 4 COL Condition VAL Hip or knee replacement, amputation or other bone or joint condition ",COL State VAL GA ,AL
45,COL CCN VAL 01T100 COL Facility VAL THOMAS HOSPITAL COL Address1 VAL 750 MORPHY AVENUE COL City VAL FAIRHOPE COL State VAL AL COL ZipCode VAL 67114 COL County VAL Baldwin COL PhoneNumber VAL (251) 435-3417 COL CMSRegion VAL 4 COL Condition VAL Hip or femur fracture ,COL ZipCode VAL 67114 ,36533
46,COL CCN VAL 01T100 COL Facility VAL THOMAS HOSPITAL COL Address1 VAL 750 MORPHY AVENUE COL City VAL FAIRHOPE COL State VAL AL COL ZipCode VAL 36533 COL County VAL Sacramento COL PhoneNumber VAL (251) 435-3417 COL CMSRegion VAL 4 COL Condition VAL Hip or femur fracture ,COL County VAL Sacramento ,Baldwin
47,COL CCN VAL 01T100 COL Facility VAL THOMAS HOSPITAL COL Address1 VAL 750 MORPHY AVENUE COL City VAL FAIRHOPE COL State VAL AL COL ZipCode VAL 36533 COL County VAL Baldwin COL PhoneNumber VAL (70) 237-7453 COL CMSRegion VAL 4 COL Condition VAL Stroke ,COL PhoneNumber VAL (70) 237-7453 ,(251) 435-3417
48,COL CCN VAL 01T100 COL Facility VAL THOMAS HOSPITAL COL Address1 VAL 750 MORPHY AVENUE COL City VAL FAIRHOPE COL State VAL AL COL ZipCode VAL 36533 COL County VAL Baldwin COL PhoneNumber VAL (251) 435-3417 COL CMSRegion VAL 5 COL Condition VAL Spinal cord disease or condition (non-traumatic) ,COL CMSRegion VAL 5 ,4
49,COL CCN VAL 01T100 COL Facility VAL THOMAS HOSPITAL COL Address1 VAL 750 MORPHY AVENUE COL City VAL FAIRHOPE COL State VAL AL COL ZipCode VAL 36533 COL County VAL Baldwin COL PhoneNumber VAL (251) 435-3417 COL CMSRegion VAL 4 COL Condition VAL Hp or femur fracture ,COL Condition VAL Hp or femur fracture ,Hip or femur fracture
50,COL CCN VAL 193079 COL Facility VAL AMI BROOKWOOD MEDICAL CENTER COL Address1 VAL 2010 BROOKWOOD MEDICAL CTR. DR COL City VAL HOMEWOOD COL State VAL AL COL ZipCode VAL 35209 COL County VAL Jefferson COL PhoneNumber VAL (205) 877-1600 COL CMSRegion VAL 4 COL Condition VAL Spinal cord injury (traumatic) ,COL CCN VAL 193079 ,01T139
51,COL CCN VAL 01T139 COL Facility VAL ST. MARY MEDICAL CENTER INC COL Address1 VAL 2010 BROOKWOOD MEDICAL CTR. DR COL City VAL HOMEWOOD COL State VAL AL COL ZipCode VAL 35209 COL County VAL Jefferson COL PhoneNumber VAL (205) 877-1600 COL CMSRegion VAL 4 COL Condition VAL All other conditions ,COL Facility VAL ST. MARY MEDICAL CENTER INC ,AMI BROOKWOOD MEDICAL CENTER
52,COL CCN VAL 01T139 COL Facility VAL AMI BROOKWOOD MEDICAL CENTER COL Address1 VAL 830 WASHINGTON ST. COL City VAL HOMEWOOD COL State VAL AL COL ZipCode VAL 35209 COL County VAL Jefferson COL PhoneNumber VAL (205) 877-1600 COL CMSRegion VAL 4 COL Condition VAL Spinal cord injury (traumatic) ,COL Address1 VAL 830 WASHINGTON ST. ,2010 BROOKWOOD MEDICAL CTR. DR
53,COL CCN VAL 01T139 COL Facility VAL AMI BROOKWOOD MEDICAL CENTER COL Address1 VAL 2010 BROOKWOOD MEDICAL CTR. DR COL City VAL NRTH LITTLE ROCK COL State VAL AL COL ZipCode VAL 35209 COL County VAL Jefferson COL PhoneNumber VAL (205) 877-1600 COL CMSRegion VAL 4 COL Condition VAL Stroke ,COL City VAL NRTH LITTLE ROCK ,HOMEWOOD
54,COL CCN VAL 01T139 COL Facility VAL AMI BROOKWOOD MEDICAL CENTER COL Address1 VAL 2010 BROOKWOOD MEDICAL CTR. DR COL City VAL HOMEWOOD COL State VAL NY COL ZipCode VAL 35209 COL County VAL Jefferson COL PhoneNumber VAL (205) 877-1600 COL CMSRegion VAL 4 COL Condition VAL All other conditions ,COL State VAL NY ,AL
55,COL CCN VAL 01T139 COL Facility VAL AMI BROOKWOOD MEDICAL CENTER COL Address1 VAL 2010 BROOKWOOD MEDICAL CTR. DR COL City VAL HOMEWOOD COL State VAL AL COL ZipCode VAL 11201 COL County VAL Jefferson COL PhoneNumber VAL (205) 877-1600 COL CMSRegion VAL 4 COL Condition VAL All other conditions ,COL ZipCode VAL 11201 ,35209
56,COL CCN VAL 01T139 COL Facility VAL AMI BROOKWOOD MEDICAL CENTER COL Address1 VAL 2010 BROOKWOOD MEDICAL CTR. DR COL City VAL HOMEWOOD COL State VAL AL COL ZipCode VAL 35209 COL County VAL Hudson COL PhoneNumber VAL (205) 877-1600 COL CMSRegion VAL 4 COL Condition VAL Stroke ,COL County VAL Hudson ,Jefferson
57,COL CCN VAL 01T139 COL Facility VAL AMI BROOKWOOD MEDICAL CENTER COL Address1 VAL 2010 BROOKWOOD MEDICAL CTR. DR COL City VAL HOMEWOOD COL State VAL AL COL ZipCode VAL 35209 COL County VAL Jefferson COL PhoneNumber VAL (80) 567-0350 COL CMSRegion VAL 4 COL Condition VAL All other conditions ,COL PhoneNumber VAL (80) 567-0350 ,(205) 877-1600
58,COL CCN VAL 01T139 COL Facility VAL AMI BROOKWOOD MEDICAL CENTER COL Address1 VAL 2010 BROOKWOOD MEDICAL CTR. DR COL City VAL HOMEWOOD COL State VAL AL COL ZipCode VAL 35209 COL County VAL Jefferson COL PhoneNumber VAL (205) 877-1600 COL CMSRegion VAL 2 COL Condition VAL Spinal cord injury (traumatic) ,COL CMSRegion VAL 2 ,4
59,COL CCN VAL 01T139 COL Facility VAL AMI BROOKWOOD MEDICAL CENTER COL Address1 VAL 2010 BROOKWOOD MEDICAL CTR. DR COL City VAL HOMEWOOD COL State VAL AL COL ZipCode VAL 35209 COL County VAL Jefferson COL PhoneNumber VAL (205) 877-1600 COL CMSRegion VAL 4 COL Condition VAL Al other conditions ,COL Condition VAL Al other conditions ,Stroke
60,COL CCN VAL 32T063 COL Facility VAL SPRINGHILL MEDICAL CENTER COL Address1 VAL 3719 DAUPHIN STREET COL City VAL MOBILE COL State VAL AL COL ZipCode VAL 36608 COL County VAL Mobile COL PhoneNumber VAL (502) 596-6346 COL CMSRegion VAL 4 COL Condition VAL Hip or femur fracture ,COL CCN VAL 32T063 ,01T144
61,COL CCN VAL 01T144 COL Facility VAL MEMORIAL HOSPITAL AND HEALTH CARE CENTER COL Address1 VAL 3719 DAUPHIN STREET COL City VAL MOBILE COL State VAL AL COL ZipCode VAL 36608 COL County VAL Mobile COL PhoneNumber VAL (502) 596-6346 COL CMSRegion VAL 4 COL Condition VAL Brain injury (traumatic) ,COL Facility VAL MEMORIAL HOSPITAL AND HEALTH CARE CENTER ,SPRINGHILL MEDICAL CENTER
62,COL CCN VAL 01T144 COL Facility VAL SPRINGHILL MEDICAL CENTER COL Address1 VAL 1115 S. SUNSET AVENUE COL City VAL MOBILE COL State VAL AL COL ZipCode VAL 36608 COL County VAL Mobile COL PhoneNumber VAL (502) 596-6346 COL CMSRegion VAL 4 COL Condition VAL Brain injury (traumatic) ,COL Address1 VAL 1115 S. SUNSET AVENUE ,3719 DAUPHIN STREET
63,COL CCN VAL 01T144 COL Facility VAL SPRINGHILL MEDICAL CENTER COL Address1 VAL 3719 DAUPHIN STREET COL City VAL KTTANNING COL State VAL AL COL ZipCode VAL 36608 COL County VAL Mobile COL PhoneNumber VAL (502) 596-6346 COL CMSRegion VAL 4 COL Condition VAL Stroke ,COL City VAL KTTANNING ,MOBILE
64,COL CCN VAL 01T144 COL Facility VAL SPRINGHILL MEDICAL CENTER COL Address1 VAL 3719 DAUPHIN STREET COL City VAL MOBILE COL State VAL NC COL ZipCode VAL 36608 COL County VAL Mobile COL PhoneNumber VAL (502) 596-6346 COL CMSRegion VAL 4 COL Condition VAL Brain injury (traumatic) ,COL State VAL NC ,AL
65,COL CCN VAL 01T144 COL Facility VAL SPRINGHILL MEDICAL CENTER COL Address1 VAL 3719 DAUPHIN STREET COL City VAL MOBILE COL State VAL AL COL ZipCode VAL 63131 COL County VAL Mobile COL PhoneNumber VAL (502) 596-6346 COL CMSRegion VAL 4 COL Condition VAL Stroke ,COL ZipCode VAL 63131 ,36608
66,COL CCN VAL 01T144 COL Facility VAL SPRINGHILL MEDICAL CENTER COL Address1 VAL 3719 DAUPHIN STREET COL City VAL MOBILE COL State VAL AL COL ZipCode VAL 36608 COL County VAL DeKalb COL PhoneNumber VAL (502) 596-6346 COL CMSRegion VAL 4 COL Condition VAL Hip or femur fracture ,COL County VAL DeKalb ,Mobile
67,COL CCN VAL 01T144 COL Facility VAL SPRINGHILL MEDICAL CENTER COL Address1 VAL 3719 DAUPHIN STREET COL City VAL MOBILE COL State VAL AL COL ZipCode VAL 36608 COL County VAL Mobile COL PhoneNumber VAL (725) 223-4100 COL CMSRegion VAL 4 COL Condition VAL Hip or femur fracture ,COL PhoneNumber VAL (725) 223-4100 ,(502) 596-6346
68,COL CCN VAL 01T144 COL Facility VAL SPRINGHILL MEDICAL CENTER COL Address1 VAL 3719 DAUPHIN STREET COL City VAL MOBILE COL State VAL AL COL ZipCode VAL 36608 COL County VAL Mobile COL PhoneNumber VAL (502) 596-6346 COL CMSRegion VAL 9 COL Condition VAL Hip or femur fracture ,COL CMSRegion VAL 9 ,4
69,COL CCN VAL 01T144 COL Facility VAL SPRINGHILL MEDICAL CENTER COL Address1 VAL 3719 DAUPHIN STREET COL City VAL MOBILE COL State VAL AL COL ZipCode VAL 36608 COL County VAL Mobile COL PhoneNumber VAL (502) 596-6346 COL CMSRegion VAL 4 COL Condition VAL Sinal cord disease or condition (non-traumatic) ,COL Condition VAL Sinal cord disease or condition (non-traumatic) ,Stroke
70,COL CCN VAL 1T025 COL Facility VAL JW SOMMER REHABILITATION UNIT COL Address1 VAL 201 AVALON AVE COL City VAL MUSCLE SHOALS COL State VAL AL COL ZipCode VAL 35661 COL County VAL Colbert COL PhoneNumber VAL (256) 386-1687 COL CMSRegion VAL 4 COL Condition VAL All other conditions ,COL CCN VAL 1T025 ,01T157
