,source_text,target_text,predict
25,COL CCN VAL 01T033 COL Facility VAL SPAIN REHABILITATION CENTER COL Address1 VAL SRC 223E COL City VAL BIRMINGHAM COL State VAL AL COL ZipCode VAL 60901 COL County VAL Jefferson COL PhoneNumber VAL (205) 934-4940 COL CMSRegion VAL 4 COL Condition VAL Brain injury (traumatic)  [SEP] COL ZipCode VAL 60901 ,35249,35209
26,COL CCN VAL 01T033 COL Facility VAL SPAIN REHABILITATION CENTER COL Address1 VAL SRC 223E COL City VAL BIRMINGHAM COL State VAL AL COL ZipCode VAL 35249 COL County VAL Garland COL PhoneNumber VAL (205) 934-4940 COL CMSRegion VAL 4 COL Condition VAL Nervous system disorder (excluding stroke)  [SEP] COL County VAL Garland ,Jefferson,Jefferson
27,COL CCN VAL 01T033 COL Facility VAL SPAIN REHABILITATION CENTER COL Address1 VAL SRC 223E COL City VAL BIRMINGHAM COL State VAL AL COL ZipCode VAL 35249 COL County VAL Jefferson COL PhoneNumber VAL (718) 226-8027 COL CMSRegion VAL 4 COL Condition VAL Nervous system disorder (excluding stroke)  [SEP] COL PhoneNumber VAL (718) 226-8027 ,(205) 934-4940,(502) 596-6346
28,COL CCN VAL 01T033 COL Facility VAL SPAIN REHABILITATION CENTER COL Address1 VAL SRC 223E COL City VAL BIRMINGHAM COL State VAL AL COL ZipCode VAL 35249 COL County VAL Jefferson COL PhoneNumber VAL (205) 934-4940 COL CMSRegion VAL 10 COL Condition VAL Nervous system disorder (excluding stroke)  [SEP] COL CMSRegion VAL 10 ,4,4
29,COL CCN VAL 01T033 COL Facility VAL SPAIN REHABILITATION CENTER COL Address1 VAL SRC 223E COL City VAL BIRMINGHAM COL State VAL AL COL ZipCode VAL 35249 COL County VAL Jefferson COL PhoneNumber VAL (205) 934-4940 COL CMSRegion VAL 4 COL Condition VAL Spinal cord injury (traumatic)  [SEP] COL Condition VAL Spinal cord injury (traumatic) ,Brain injury (traumatic),"Hip or knee replacement, amputation or other bone or joint condition"
30,"COL CCN VAL 3T023 COL Facility VAL DCH REHABILITATION CENTER COL Address1 VAL 809 UNIVERSITY BLVD, EAST COL City VAL TUSCALOOSA COL State VAL AL COL ZipCode VAL 35401 COL County VAL Tuscaloosa COL PhoneNumber VAL (205) 333-4362 COL CMSRegion VAL 4 COL Condition VAL Brain injury (traumatic)  [SEP] COL CCN VAL 3T023 ",01T092,01T006
31,"COL CCN VAL 01T092 COL Facility VAL ENCOMPASS HEALTH REHABILITATION HOSPITAL OF LAKELA COL Address1 VAL 809 UNIVERSITY BLVD, EAST COL City VAL TUSCALOOSA COL State VAL AL COL ZipCode VAL 35401 COL County VAL Tuscaloosa COL PhoneNumber VAL (205) 333-4362 COL CMSRegion VAL 4 COL Condition VAL Spinal cord disease or condition (non-traumatic)  [SEP] COL Facility VAL ENCOMPASS HEALTH REHABILITATION HOSPITAL OF LAKELA ",DCH REHABILITATION CENTER,ST MARYS MEDICAL CENTER
32,COL CCN VAL 01T092 COL Facility VAL DCH REHABILITATION CENTER COL Address1 VAL HAZARD COL City VAL TUSCALOOSA COL State VAL AL COL ZipCode VAL 35401 COL County VAL Tuscaloosa COL PhoneNumber VAL (205) 333-4362 COL CMSRegion VAL 4 COL Condition VAL Hip or femur fracture  [SEP] COL Address1 VAL HAZARD ,"809 UNIVERSITY BLVD, EAST",201 WEST MEMORIAL MEDICAL PKWY
33,"COL CCN VAL 01T092 COL Facility VAL DCH REHABILITATION CENTER COL Address1 VAL 809 UNIVERSITY BLVD, EAST COL City VAL PETOSKEY COL State VAL AL COL ZipCode VAL 35401 COL County VAL Tuscaloosa COL PhoneNumber VAL (205) 333-4362 COL CMSRegion VAL 4 COL Condition VAL Spinal cord injury (traumatic)  [SEP] COL City VAL PETOSKEY ",TUSCALOOSA,TUSCALOOSA
34,"COL CCN VAL 01T092 COL Facility VAL DCH REHABILITATION CENTER COL Address1 VAL 809 UNIVERSITY BLVD, EAST COL City VAL TUSCALOOSA COL State VAL AK COL ZipCode VAL 35401 COL County VAL Tuscaloosa COL PhoneNumber VAL (205) 333-4362 COL CMSRegion VAL 4 COL Condition VAL Hip or femur fracture  [SEP] COL State VAL AK ",AL,AL
35,"COL CCN VAL 01T092 COL Facility VAL DCH REHABILITATION CENTER COL Address1 VAL 809 UNIVERSITY BLVD, EAST COL City VAL TUSCALOOSA COL State VAL AL COL ZipCode VAL 89148 COL County VAL Tuscaloosa COL PhoneNumber VAL (205) 333-4362 COL CMSRegion VAL 4 COL Condition VAL Brain injury (traumatic)  [SEP] COL ZipCode VAL 89148 ",35401,35401
36,"COL CCN VAL 01T092 COL Facility VAL DCH REHABILITATION CENTER COL Address1 VAL 809 UNIVERSITY BLVD, EAST COL City VAL TUSCALOOSA COL State VAL AL COL ZipCode VAL 35401 COL County VAL Cobb COL PhoneNumber VAL (205) 333-4362 COL CMSRegion VAL 4 COL Condition VAL Hip or femur fracture  [SEP] COL County VAL Cobb ",Tuscaloosa,Tuscaloosa
37,"COL CCN VAL 01T092 COL Facility VAL DCH REHABILITATION CENTER COL Address1 VAL 809 UNIVERSITY BLVD, EAST COL City VAL TUSCALOOSA COL State VAL AL COL ZipCode VAL 35401 COL County VAL Tuscaloosa COL PhoneNumber VAL (708) 684-2000 COL CMSRegion VAL 4 COL Condition VAL Spinal cord disease or condition (non-traumatic)  [SEP] COL PhoneNumber VAL (708) 684-2000 ",(205) 333-4362,(502) 596-6346
38,"COL CCN VAL 01T092 COL Facility VAL DCH REHABILITATION CENTER COL Address1 VAL 809 UNIVERSITY BLVD, EAST COL City VAL TUSCALOOSA COL State VAL AL COL ZipCode VAL 35401 COL County VAL Tuscaloosa COL PhoneNumber VAL (205) 333-4362 COL CMSRegion VAL 10 COL Condition VAL Hip or femur fracture  [SEP] COL CMSRegion VAL 10 ",4,4
39,"COL CCN VAL 01T092 COL Facility VAL DCH REHABILITATION CENTER COL Address1 VAL 809 UNIVERSITY BLVD, EAST COL City VAL TUSCALOOSA COL State VAL AL COL ZipCode VAL 35401 COL County VAL Tuscaloosa COL PhoneNumber VAL (205) 333-4362 COL CMSRegion VAL 4 COL Condition VAL Al other conditions  [SEP] COL Condition VAL Al other conditions ",Spinal cord injury (traumatic),Hip or femur fracture
40,COL CCN VAL 11T007 COL Facility VAL THOMAS HOSPITAL COL Address1 VAL 750 MORPHY AVENUE COL City VAL FAIRHOPE COL State VAL AL COL ZipCode VAL 36533 COL County VAL Baldwin COL PhoneNumber VAL (251) 435-3417 COL CMSRegion VAL 4 COL Condition VAL Stroke  [SEP] COL CCN VAL 11T007 ,01T100,01T006
41,COL CCN VAL 01T100 COL Facility VAL ENCOMPASS HEALTH REHABILITATION HOSPITAL GADSDEN COL Address1 VAL 750 MORPHY AVENUE COL City VAL FAIRHOPE COL State VAL AL COL ZipCode VAL 36533 COL County VAL Baldwin COL PhoneNumber VAL (251) 435-3417 COL CMSRegion VAL 4 COL Condition VAL Spinal cord disease or condition (non-traumatic)  [SEP] COL Facility VAL ENCOMPASS HEALTH REHABILITATION HOSPITAL GADSDEN ,THOMAS HOSPITAL,ENCOMPASS HEALTH REHAB HOSPITAL OF Baldwin
42,COL CCN VAL 01T100 COL Facility VAL THOMAS HOSPITAL COL Address1 VAL 155 WILSON AVENUE COL City VAL FAIRHOPE COL State VAL AL COL ZipCode VAL 36533 COL County VAL Baldwin COL PhoneNumber VAL (251) 435-3417 COL CMSRegion VAL 4 COL Condition VAL Spinal cord disease or condition (non-traumatic)  [SEP] COL Address1 VAL 155 WILSON AVENUE ,750 MORPHY AVENUE,ONE THOMAS RD
43,"COL CCN VAL 01T100 COL Facility VAL THOMAS HOSPITAL COL Address1 VAL 750 MORPHY AVENUE COL City VAL 4646 N. MARINE DRIVE COL State VAL AL COL ZipCode VAL 36533 COL County VAL Baldwin COL PhoneNumber VAL (251) 435-3417 COL CMSRegion VAL 4 COL Condition VAL Hip or knee replacement, amputation or other bone or joint condition  [SEP] COL City VAL 4646 N. MARINE DRIVE ",FAIRHOPE,BULLARD
44,"COL CCN VAL 01T100 COL Facility VAL THOMAS HOSPITAL COL Address1 VAL 750 MORPHY AVENUE COL City VAL FAIRHOPE COL State VAL GA COL ZipCode VAL 36533 COL County VAL Baldwin COL PhoneNumber VAL (251) 435-3417 COL CMSRegion VAL 4 COL Condition VAL Hip or knee replacement, amputation or other bone or joint condition  [SEP] COL State VAL GA ",AL,AL
45,COL CCN VAL 01T100 COL Facility VAL THOMAS HOSPITAL COL Address1 VAL 750 MORPHY AVENUE COL City VAL FAIRHOPE COL State VAL AL COL ZipCode VAL 67114 COL County VAL Baldwin COL PhoneNumber VAL (251) 435-3417 COL CMSRegion VAL 4 COL Condition VAL Hip or femur fracture  [SEP] COL ZipCode VAL 67114 ,36533,35401
46,COL CCN VAL 01T100 COL Facility VAL THOMAS HOSPITAL COL Address1 VAL 750 MORPHY AVENUE COL City VAL FAIRHOPE COL State VAL AL COL ZipCode VAL 36533 COL County VAL Sacramento COL PhoneNumber VAL (251) 435-3417 COL CMSRegion VAL 4 COL Condition VAL Hip or femur fracture  [SEP] COL County VAL Sacramento ,Baldwin,Baldwin
47,COL CCN VAL 01T100 COL Facility VAL THOMAS HOSPITAL COL Address1 VAL 750 MORPHY AVENUE COL City VAL FAIRHOPE COL State VAL AL COL ZipCode VAL 36533 COL County VAL Baldwin COL PhoneNumber VAL (70) 237-7453 COL CMSRegion VAL 4 COL Condition VAL Stroke  [SEP] COL PhoneNumber VAL (70) 237-7453 ,(251) 435-3417,(502) 596-6346
48,COL CCN VAL 01T100 COL Facility VAL THOMAS HOSPITAL COL Address1 VAL 750 MORPHY AVENUE COL City VAL FAIRHOPE COL State VAL AL COL ZipCode VAL 36533 COL County VAL Baldwin COL PhoneNumber VAL (251) 435-3417 COL CMSRegion VAL 5 COL Condition VAL Spinal cord disease or condition (non-traumatic)  [SEP] COL CMSRegion VAL 5 ,4,4
49,COL CCN VAL 01T100 COL Facility VAL THOMAS HOSPITAL COL Address1 VAL 750 MORPHY AVENUE COL City VAL FAIRHOPE COL State VAL AL COL ZipCode VAL 36533 COL County VAL Baldwin COL PhoneNumber VAL (251) 435-3417 COL CMSRegion VAL 4 COL Condition VAL Hp or femur fracture  [SEP] COL Condition VAL Hp or femur fracture ,Hip or femur fracture,Hip or femur fracture
50,COL CCN VAL 193079 COL Facility VAL AMI BROOKWOOD MEDICAL CENTER COL Address1 VAL 2010 BROOKWOOD MEDICAL CTR. DR COL City VAL HOMEWOOD COL State VAL AL COL ZipCode VAL 35209 COL County VAL Jefferson COL PhoneNumber VAL (205) 877-1600 COL CMSRegion VAL 4 COL Condition VAL Spinal cord injury (traumatic)  [SEP] COL CCN VAL 193079 ,01T139,01T006
51,COL CCN VAL 01T139 COL Facility VAL ST. MARY MEDICAL CENTER INC COL Address1 VAL 2010 BROOKWOOD MEDICAL CTR. DR COL City VAL HOMEWOOD COL State VAL AL COL ZipCode VAL 35209 COL County VAL Jefferson COL PhoneNumber VAL (205) 877-1600 COL CMSRegion VAL 4 COL Condition VAL All other conditions  [SEP] COL Facility VAL ST. MARY MEDICAL CENTER INC ,AMI BROOKWOOD MEDICAL CENTER,BROOKWOOD MEDICAL CENTER
52,COL CCN VAL 01T139 COL Facility VAL AMI BROOKWOOD MEDICAL CENTER COL Address1 VAL 830 WASHINGTON ST. COL City VAL HOMEWOOD COL State VAL AL COL ZipCode VAL 35209 COL County VAL Jefferson COL PhoneNumber VAL (205) 877-1600 COL CMSRegion VAL 4 COL Condition VAL Spinal cord injury (traumatic)  [SEP] COL Address1 VAL 830 WASHINGTON ST. ,2010 BROOKWOOD MEDICAL CTR. DR,201 BROOKWOOD AVENUE
53,COL CCN VAL 01T139 COL Facility VAL AMI BROOKWOOD MEDICAL CENTER COL Address1 VAL 2010 BROOKWOOD MEDICAL CTR. DR COL City VAL NRTH LITTLE ROCK COL State VAL AL COL ZipCode VAL 35209 COL County VAL Jefferson COL PhoneNumber VAL (205) 877-1600 COL CMSRegion VAL 4 COL Condition VAL Stroke  [SEP] COL City VAL NRTH LITTLE ROCK ,HOMEWOOD,BROOKWOOD
54,COL CCN VAL 01T139 COL Facility VAL AMI BROOKWOOD MEDICAL CENTER COL Address1 VAL 2010 BROOKWOOD MEDICAL CTR. DR COL City VAL HOMEWOOD COL State VAL NY COL ZipCode VAL 35209 COL County VAL Jefferson COL PhoneNumber VAL (205) 877-1600 COL CMSRegion VAL 4 COL Condition VAL All other conditions  [SEP] COL State VAL NY ,AL,AL
55,COL CCN VAL 01T139 COL Facility VAL AMI BROOKWOOD MEDICAL CENTER COL Address1 VAL 2010 BROOKWOOD MEDICAL CTR. DR COL City VAL HOMEWOOD COL State VAL AL COL ZipCode VAL 11201 COL County VAL Jefferson COL PhoneNumber VAL (205) 877-1600 COL CMSRegion VAL 4 COL Condition VAL All other conditions  [SEP] COL ZipCode VAL 11201 ,35209,35209
56,COL CCN VAL 01T139 COL Facility VAL AMI BROOKWOOD MEDICAL CENTER COL Address1 VAL 2010 BROOKWOOD MEDICAL CTR. DR COL City VAL HOMEWOOD COL State VAL AL COL ZipCode VAL 35209 COL County VAL Hudson COL PhoneNumber VAL (205) 877-1600 COL CMSRegion VAL 4 COL Condition VAL Stroke  [SEP] COL County VAL Hudson ,Jefferson,Jefferson
57,COL CCN VAL 01T139 COL Facility VAL AMI BROOKWOOD MEDICAL CENTER COL Address1 VAL 2010 BROOKWOOD MEDICAL CTR. DR COL City VAL HOMEWOOD COL State VAL AL COL ZipCode VAL 35209 COL County VAL Jefferson COL PhoneNumber VAL (80) 567-0350 COL CMSRegion VAL 4 COL Condition VAL All other conditions  [SEP] COL PhoneNumber VAL (80) 567-0350 ,(205) 877-1600,(502) 596-6346
58,COL CCN VAL 01T139 COL Facility VAL AMI BROOKWOOD MEDICAL CENTER COL Address1 VAL 2010 BROOKWOOD MEDICAL CTR. DR COL City VAL HOMEWOOD COL State VAL AL COL ZipCode VAL 35209 COL County VAL Jefferson COL PhoneNumber VAL (205) 877-1600 COL CMSRegion VAL 2 COL Condition VAL Spinal cord injury (traumatic)  [SEP] COL CMSRegion VAL 2 ,4,4
59,COL CCN VAL 01T139 COL Facility VAL AMI BROOKWOOD MEDICAL CENTER COL Address1 VAL 2010 BROOKWOOD MEDICAL CTR. DR COL City VAL HOMEWOOD COL State VAL AL COL ZipCode VAL 35209 COL County VAL Jefferson COL PhoneNumber VAL (205) 877-1600 COL CMSRegion VAL 4 COL Condition VAL Al other conditions  [SEP] COL Condition VAL Al other conditions ,Stroke,"Hip or knee replacement, amputation or other bone or joint condition"
60,COL CCN VAL 32T063 COL Facility VAL SPRINGHILL MEDICAL CENTER COL Address1 VAL 3719 DAUPHIN STREET COL City VAL MOBILE COL State VAL AL COL ZipCode VAL 36608 COL County VAL Mobile COL PhoneNumber VAL (502) 596-6346 COL CMSRegion VAL 4 COL Condition VAL Hip or femur fracture  [SEP] COL CCN VAL 32T063 ,01T144,01T027
61,COL CCN VAL 01T144 COL Facility VAL MEMORIAL HOSPITAL AND HEALTH CARE CENTER COL Address1 VAL 3719 DAUPHIN STREET COL City VAL MOBILE COL State VAL AL COL ZipCode VAL 36608 COL County VAL Mobile COL PhoneNumber VAL (502) 596-6346 COL CMSRegion VAL 4 COL Condition VAL Brain injury (traumatic)  [SEP] COL Facility VAL MEMORIAL HOSPITAL AND HEALTH CARE CENTER ,SPRINGHILL MEDICAL CENTER,UNIVERSITY OF MOBILE MEMORIAL HOSPITAL
62,COL CCN VAL 01T144 COL Facility VAL SPRINGHILL MEDICAL CENTER COL Address1 VAL 1115 S. SUNSET AVENUE COL City VAL MOBILE COL State VAL AL COL ZipCode VAL 36608 COL County VAL Mobile COL PhoneNumber VAL (502) 596-6346 COL CMSRegion VAL 4 COL Condition VAL Brain injury (traumatic)  [SEP] COL Address1 VAL 1115 S. SUNSET AVENUE ,3719 DAUPHIN STREET,900 EAST MICHIGAN ST
63,COL CCN VAL 01T144 COL Facility VAL SPRINGHILL MEDICAL CENTER COL Address1 VAL 3719 DAUPHIN STREET COL City VAL KTTANNING COL State VAL AL COL ZipCode VAL 36608 COL County VAL Mobile COL PhoneNumber VAL (502) 596-6346 COL CMSRegion VAL 4 COL Condition VAL Stroke  [SEP] COL City VAL KTTANNING ,MOBILE,MOBILE
64,COL CCN VAL 01T144 COL Facility VAL SPRINGHILL MEDICAL CENTER COL Address1 VAL 3719 DAUPHIN STREET COL City VAL MOBILE COL State VAL NC COL ZipCode VAL 36608 COL County VAL Mobile COL PhoneNumber VAL (502) 596-6346 COL CMSRegion VAL 4 COL Condition VAL Brain injury (traumatic)  [SEP] COL State VAL NC ,AL,AL
65,COL CCN VAL 01T144 COL Facility VAL SPRINGHILL MEDICAL CENTER COL Address1 VAL 3719 DAUPHIN STREET COL City VAL MOBILE COL State VAL AL COL ZipCode VAL 63131 COL County VAL Mobile COL PhoneNumber VAL (502) 596-6346 COL CMSRegion VAL 4 COL Condition VAL Stroke  [SEP] COL ZipCode VAL 63131 ,36608,35401
